Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
101524487,ASTI MARTINI 75CL,,0.75,,7.00,1/27/2021,2/16/2021,Agreement.Promotion.2599970
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,3.42,,18.00,1/27/2021,2/16/2021,Agreement.Promotion.2616651
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.70,,18.00,1/27/2021,2/16/2021,Agreement.Promotion.2616696
101530449,BACARDI WHITE RUM 37.5%   70CL,,,,14.00,1/27/2021,2/16/2021,Agreement.Promotion.2686564
101530449,BACARDI WHITE RUM 37.5%   70CL,,,,14.00,1/27/2021,2/16/2021,Agreement.Promotion.2728856
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.00,1/27/2021,2/16/2021,Agreement.Promotion.2731938
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,3.42,,18.00,1/18/2021,1/26/2021,Agreement.Promotion.2740632
110828280,BOMBAY SAPPHIRE LIMITED EDITION ENGLISH ESTATE 70CL (ABV 5%),,3.36,,18.00,2/17/2021,3/16/2021,Agreement.Promotion.2734646
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.00,2/17/2021,3/16/2021,Agreement.Promotion.2734740
107346651,BOMBAY DRY GIN 37.5% ABV 1LTR,,3.54,,17.00,2/17/2021,3/16/2021,Agreement.Promotion.2735230
101524487,ASTI MARTINI 75CL,,0.75,,7.00,2/17/2021,3/16/2021,Agreement.Promotion.2782896
109191816,MARTINI EXTRA DRY 75CL (ABV 15.0%),,,,7.50,2/17/2021,3/16/2021,Agreement.Promotion.2794516
109191883,MARTINI ROSSO 75CL (ABV 15.0%),,,,7.50,2/17/2021,3/16/2021,Agreement.Promotion.2794516
110566591,MARTINI BIANCO 750ML (ABV 15%),,,,7.50,2/17/2021,3/16/2021,Agreement.Promotion.2794516
101530449,BACARDI WHITE RUM 37.5%   70CL,,,,14.00,2/17/2021,3/16/2021,Agreement.Promotion.2804602
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.38,,20.00,2/17/2021,3/9/2021,Agreement.Promotion.2937594
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.38,,20.00,2/17/2021,3/16/2021,Agreement.Promotion.2937612
109823449,BACARDI RASPBERRY 1L (ABV 32%),,,,17.00,3/17/2021,4/6/2021,Agreement.Promotion.2862492
110620729,BACARDI SPICED 1L,,,,17.00,3/17/2021,4/6/2021,Agreement.Promotion.2862520
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,15.99,3/24/2021,4/6/2021,Agreement.Promotion.2862538
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,17.00,3/17/2021,3/23/2021,Agreement.Promotion.2862564
110620729,BACARDI SPICED 1L,,,,18.75,3/17/2021,4/6/2021,Agreement.Promotion.2862589
101530449,BACARDI WHITE RUM 37.5%   70CL,,,,14.00,3/17/2021,4/6/2021,Agreement.Promotion.2862602
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,3/17/2021,4/6/2021,Agreement.Promotion.2862632
101530449,BACARDI WHITE RUM 37.5%   70CL,,,,14.00,3/17/2021,4/6/2021,Agreement.Promotion.2862684
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,3/17/2021,4/6/2021,Agreement.Promotion.2862709
